delivery_id,ship_date,region,carrier,route_type,distance_miles,promised_days,actual_days,late_delivery,delay_days
80042,2025-06-14,Midwest,UPS,Urban,356.3,1,2,1,1
80043,2025-09-15,Northeast,DHL,Rural,591.7,2,3,1,1
80044,2025-10-20,West,DHL,Urban,616.3,5,5,0,0
80045,2025-04-24,Midwest,DHL,Urban,699.4,1,1,0,0
80046,2025-04-30,South,FedEx,Urban,163.4,2,3,1,1
80047,2025-03-10,South,UPS,Suburban,788.6,3,3,0,0
80048,2025-10-01,South,UPS,Suburban,611.8,5,7,1,2
80049,2025-02-17,Midwest,DHL,Suburban,130.0,1,3,1,2
80050,2025-12-03,West,USPS,Urban,673.4,2,4,1,2
80051,2025-11-18,Northeast,UPS,Rural,401.7,2,3,1,1
80052,2025-12-28,West,USPS,Rural,57.9,2,3,1,1
80053,2025-02-27,Northeast,UPS,Urban,110.0,2,3,1,1
80054,2025-03-19,Northeast,DHL,Rural,349.9,2,4,1,2
80055,2025-07-23,Northeast,DHL,Rural,426.8,2,5,1,3
80056,2025-08-13,Northeast,UPS,Urban,758.3,1,2,1,1
80057,2025-09-20,Midwest,FedEx,Urban,176.5,2,1,0,0
80058,2025-04-13,South,FedEx,Rural,381.9,3,3,0,0
80059,2025-04-19,Midwest,UPS,Urban,184.6,2,2,0,0
80060,2025-09-22,West,DHL,Urban,448.9,2,3,1,1
80061,2025-11-21,Northeast,UPS,Suburban,727.9,2,5,1,3
80062,2025-02-25,Midwest,USPS,Suburban,456.4,1,1,0,0
80063,2025-11-08,Midwest,DHL,Suburban,410.5,3,4,1,1
80064,2025-09-09,Midwest,FedEx,Suburban,601.4,5,4,0,0
80065,2025-10-27,Northeast,FedEx,Suburban,122.4,2,2,0,0
80066,2025-03-13,Northeast,UPS,Urban,725.0,2,3,1,1
80067,2025-05-21,Northeast,USPS,Urban,464.2,3,1,0,0
80068,2025-06-29,Midwest,DHL,Urban,550.6,1,2,1,1
80069,2025-07-22,Midwest,FedEx,Rural,656.1,5,6,1,1
80070,2025-09-28,West,UPS,Rural,509.9,1,2,1,1
80071,2025-04-20,South,UPS,Suburban,514.8,3,3,0,0
80072,2025-03-23,South,DHL,Urban,585.0,2,3,1,1
80073,2025-03-25,Northeast,UPS,Rural,46.5,2,4,1,2
80074,2025-09-14,South,UPS,Urban,308.9,1,2,1,1
80075,2025-07-12,Northeast,UPS,Urban,770.5,3,4,1,1
80076,2025-05-19,Northeast,FedEx,Rural,210.1,3,5,1,2
80077,2025-08-09,Midwest,FedEx,Suburban,436.1,5,5,0,0
80078,2025-07-08,South,USPS,Urban,144.5,2,2,0,0
80079,2025-12-15,West,DHL,Rural,262.0,3,5,1,2
80080,2025-12-10,Northeast,DHL,Rural,575.1,2,2,0,0
80081,2025-12-06,Northeast,DHL,Urban,516.3,3,4,1,1
80082,2025-07-16,West,DHL,Rural,334.4,2,4,1,2
80083,2025-10-28,South,UPS,Suburban,750.8,3,2,0,0
80084,2025-03-15,West,DHL,Urban,621.2,3,2,0,0
80085,2025-07-17,South,USPS,Rural,218.0,5,7,1,2
80086,2025-11-20,South,DHL,Urban,375.0,2,3,1,1
80087,2025-09-17,South,DHL,Urban,703.0,2,3,1,1
80088,2025-07-18,South,UPS,Urban,22.9,3,3,0,0
80089,2025-10-31,South,UPS,Suburban,467.3,5,7,1,2
80090,2025-12-19,South,UPS,Urban,189.4,2,3,1,1
80091,2025-05-17,Northeast,USPS,Rural,55.7,5,7,1,2
80092,2025-12-12,Midwest,UPS,Suburban,730.7,5,5,0,0
80093,2025-06-24,Northeast,DHL,Urban,653.9,2,3,1,1
80094,2025-11-12,Northeast,USPS,Suburban,152.3,3,3,0,0
80095,2025-11-04,West,FedEx,Suburban,670.4,3,3,0,0
80096,2025-12-08,Midwest,UPS,Urban,121.4,3,2,0,0
80097,2025-12-19,Midwest,USPS,Urban,383.5,2,3,1,1
80098,2025-10-31,Midwest,FedEx,Suburban,582.0,2,1,0,0
80099,2025-05-13,South,UPS,Urban,429.4,1,1,0,0
80100,2025-01-27,South,FedEx,Rural,681.4,3,3,0,0
80101,2025-09-14,South,UPS,Urban,495.4,5,3,0,0
80102,2025-02-20,Northeast,USPS,Urban,348.4,3,3,0,0
80103,2025-05-24,Midwest,UPS,Urban,740.5,1,1,0,0
80104,2025-12-21,Midwest,UPS,Suburban,33.9,5,6,1,1
80105,2025-12-22,Northeast,USPS,Urban,393.3,1,1,0,0
80106,2025-08-24,South,USPS,Urban,530.3,5,7,1,2
80107,2025-06-09,West,DHL,Urban,669.7,3,6,1,3
80108,2025-12-25,Midwest,DHL,Suburban,435.2,3,5,1,2
80109,2025-10-30,Northeast,USPS,Urban,709.0,3,3,0,0
80110,2025-09-28,South,UPS,Urban,343.9,1,2,1,1
80111,2025-06-03,Northeast,FedEx,Urban,257.1,2,4,1,2
80112,2025-02-06,West,USPS,Rural,779.2,2,2,0,0
80113,2025-08-05,West,FedEx,Rural,535.4,3,5,1,2
80114,2025-05-10,South,DHL,Suburban,343.5,2,4,1,2
80115,2025-03-17,Northeast,DHL,Urban,703.2,3,3,0,0
80116,2025-10-15,South,USPS,Urban,548.0,5,6,1,1
80117,2025-07-16,Northeast,USPS,Suburban,512.2,2,5,1,3
80118,2025-11-07,Northeast,UPS,Suburban,584.2,3,3,0,0
80119,2025-08-05,West,DHL,Urban,591.9,5,5,0,0
80120,2025-04-09,Northeast,DHL,Urban,396.9,1,2,1,1
80121,2025-11-08,Northeast,USPS,Suburban,338.3,3,2,0,0
80122,2025-10-12,West,FedEx,Urban,727.9,2,2,0,0
80123,2025-08-18,Midwest,UPS,Urban,400.3,2,1,0,0
80124,2025-04-19,Midwest,USPS,Urban,176.6,5,3,0,0
80125,2025-12-06,Midwest,FedEx,Urban,419.7,5,6,1,1
80126,2025-06-13,Midwest,UPS,Urban,32.4,2,1,0,0
80127,2025-04-26,Northeast,FedEx,Urban,580.0,1,1,0,0
80128,2025-03-12,Midwest,UPS,Urban,106.0,5,7,1,2
80129,2025-08-02,Midwest,UPS,Urban,93.8,5,6,1,1
80130,2025-12-04,Northeast,UPS,Urban,757.4,3,3,0,0
80131,2025-02-22,Midwest,DHL,Urban,619.2,1,1,0,0
80132,2025-03-26,Midwest,USPS,Urban,334.3,3,5,1,2
80133,2025-12-08,South,DHL,Suburban,195.5,2,5,1,3
80134,2025-03-17,Midwest,DHL,Rural,675.6,5,7,1,2
80135,2025-09-24,South,UPS,Rural,775.0,2,1,0,0
80136,2025-09-05,Midwest,USPS,Suburban,409.1,3,3,0,0
80137,2025-11-28,Northeast,USPS,Suburban,466.2,2,1,0,0
80138,2025-10-13,Midwest,USPS,Urban,198.2,2,2,0,0
80139,2025-03-20,West,USPS,Rural,473.5,3,5,1,2
80140,2025-04-17,Northeast,UPS,Suburban,323.5,2,3,1,1
80141,2025-03-23,Midwest,USPS,Rural,677.2,3,2,0,0
80142,2025-07-21,Midwest,FedEx,Urban,304.8,3,3,0,0
80143,2025-08-18,Northeast,FedEx,Urban,520.8,1,3,1,2
80144,2025-08-15,West,DHL,Urban,166.8,3,5,1,2
80145,2025-01-20,Northeast,UPS,Rural,77.1,3,6,1,3
80146,2025-09-25,West,DHL,Urban,37.1,2,1,0,0
80147,2025-11-19,Northeast,DHL,Suburban,335.4,2,2,0,0
80148,2025-06-27,Northeast,USPS,Urban,135.0,1,1,0,0
80149,2025-05-20,South,FedEx,Rural,794.8,2,4,1,2
80150,2025-11-06,South,FedEx,Urban,639.7,2,2,0,0
80151,2025-03-21,Northeast,USPS,Rural,556.2,5,5,0,0
80152,2025-07-01,South,USPS,Urban,643.6,3,5,1,2
80153,2025-03-15,Midwest,UPS,Suburban,213.9,2,2,0,0
80154,2025-05-27,Midwest,FedEx,Urban,704.0,3,5,1,2
80155,2025-08-21,Midwest,DHL,Rural,796.5,3,3,0,0
80156,2025-05-22,South,DHL,Suburban,235.4,2,3,1,1
80157,2025-05-30,South,UPS,Urban,787.8,1,1,0,0
80158,2025-05-12,Midwest,FedEx,Suburban,259.7,3,2,0,0
80159,2025-08-27,Northeast,USPS,Urban,14.3,1,3,1,2
80160,2025-11-11,Midwest,DHL,Urban,296.9,3,3,0,0
80161,2025-06-11,South,FedEx,Suburban,798.0,2,3,1,1
80162,2025-11-16,West,FedEx,Suburban,509.9,3,2,0,0
80163,2025-09-07,Midwest,FedEx,Suburban,557.9,3,2,0,0
80164,2025-05-08,Midwest,USPS,Suburban,194.5,1,3,1,2
80165,2025-10-01,South,DHL,Suburban,121.0,2,3,1,1
80166,2025-03-23,South,USPS,Rural,709.0,3,4,1,1
80167,2025-08-20,South,FedEx,Urban,333.6,3,3,0,0
80168,2025-01-31,South,FedEx,Suburban,8.3,3,3,0,0
80169,2025-08-22,Midwest,DHL,Rural,238.9,5,7,1,2
80170,2025-03-25,South,DHL,Suburban,160.6,1,3,1,2
80171,2025-02-11,West,USPS,Urban,485.0,1,2,1,1
80172,2025-07-21,Northeast,USPS,Suburban,606.1,3,4,1,1
80173,2025-09-08,South,USPS,Rural,400.5,2,3,1,1
80174,2025-03-26,South,FedEx,Suburban,152.8,2,3,1,1
80175,2025-07-02,Midwest,DHL,Urban,51.1,3,6,1,3
80176,2025-09-23,Northeast,UPS,Suburban,254.3,5,5,0,0
80177,2025-03-12,Northeast,DHL,Urban,645.7,1,2,1,1
80178,2025-01-22,Northeast,DHL,Urban,338.5,1,3,1,2
80179,2025-03-17,South,DHL,Suburban,205.5,3,6,1,3
80180,2025-09-26,Midwest,UPS,Urban,21.5,1,2,1,1
80181,2025-06-17,Midwest,USPS,Suburban,399.4,2,3,1,1
80182,2025-12-19,South,UPS,Suburban,549.4,3,3,0,0
80183,2025-12-17,Northeast,DHL,Rural,156.3,2,3,1,1
80184,2025-08-28,Northeast,DHL,Urban,432.1,2,2,0,0
80185,2025-02-20,Midwest,FedEx,Urban,339.5,2,4,1,2
80186,2025-03-24,West,DHL,Urban,564.6,2,4,1,2
80187,2025-12-18,South,UPS,Urban,689.2,3,2,0,0
80188,2025-03-31,West,UPS,Urban,249.1,2,2,0,0
80189,2025-01-13,West,UPS,Rural,724.3,2,2,0,0
80190,2025-06-06,Northeast,USPS,Urban,567.0,3,3,0,0
80191,2025-07-18,West,FedEx,Urban,34.5,5,5,0,0
80192,2025-06-03,South,USPS,Urban,634.0,5,4,0,0
80193,2025-07-17,Midwest,UPS,Urban,398.2,5,6,1,1
80194,2025-08-12,South,USPS,Urban,756.6,2,1,0,0
80195,2025-04-28,South,FedEx,Suburban,262.3,2,3,1,1
80196,2025-05-31,South,FedEx,Rural,475.0,3,4,1,1
80197,2025-09-01,South,FedEx,Suburban,765.1,2,1,0,0
80198,2025-03-16,West,FedEx,Suburban,220.6,3,2,0,0
80199,2025-08-01,Northeast,UPS,Suburban,380.2,1,2,1,1
80200,2025-10-02,Midwest,DHL,Urban,603.2,2,2,0,0
80201,2025-12-20,Northeast,UPS,Suburban,554.4,2,4,1,2
80202,2025-09-01,West,UPS,Urban,671.8,2,1,0,0
80203,2025-06-27,Northeast,UPS,Suburban,418.2,3,2,0,0
80204,2025-04-18,Northeast,UPS,Urban,258.5,3,3,0,0
80205,2025-10-18,West,USPS,Rural,430.4,1,2,1,1
80206,2025-06-26,Northeast,FedEx,Suburban,283.2,5,6,1,1
80207,2025-06-23,Midwest,DHL,Urban,145.3,2,2,0,0
80208,2025-04-03,West,DHL,Suburban,446.2,5,5,0,0
80209,2025-04-10,Midwest,DHL,Urban,43.5,3,3,0,0
80210,2025-06-30,Northeast,UPS,Urban,34.1,3,3,0,0
80211,2025-06-08,South,FedEx,Urban,56.3,5,5,0,0
80212,2025-04-06,South,FedEx,Urban,539.7,3,3,0,0
80213,2025-08-20,West,DHL,Urban,328.6,1,1,0,0
80214,2025-09-08,South,DHL,Urban,397.8,1,2,1,1
80215,2025-12-06,South,UPS,Urban,278.0,2,2,0,0
80216,2025-03-08,South,DHL,Urban,206.6,2,2,0,0
80217,2025-08-25,West,UPS,Urban,289.9,3,5,1,2
80218,2025-01-19,Midwest,DHL,Urban,158.7,3,4,1,1
80219,2025-10-14,South,FedEx,Rural,544.6,2,3,1,1
80220,2025-10-15,West,FedEx,Rural,85.9,2,4,1,2
80221,2025-07-26,Midwest,FedEx,Rural,415.9,3,3,0,0
80222,2025-11-07,West,USPS,Urban,384.1,2,3,1,1
80223,2025-04-13,South,DHL,Suburban,245.0,3,4,1,1
80224,2025-06-08,South,USPS,Suburban,86.3,2,1,0,0
80225,2025-07-14,Northeast,FedEx,Urban,564.2,2,4,1,2
80226,2025-02-20,Northeast,DHL,Rural,457.8,5,6,1,1
80227,2025-08-12,Northeast,USPS,Rural,648.5,2,4,1,2
80228,2025-07-21,Midwest,FedEx,Suburban,192.2,3,5,1,2
80229,2025-04-02,West,FedEx,Urban,634.3,2,2,0,0
80230,2025-06-04,Midwest,DHL,Suburban,237.1,2,2,0,0
80231,2025-06-25,Northeast,DHL,Urban,94.5,5,6,1,1
80232,2025-04-20,Northeast,UPS,Urban,112.3,3,6,1,3
80233,2025-10-26,South,DHL,Suburban,180.7,5,5,0,0
80234,2025-08-11,Midwest,FedEx,Urban,547.5,5,5,0,0
80235,2025-06-28,South,UPS,Urban,198.9,1,3,1,2
80236,2025-08-14,South,UPS,Urban,485.1,5,3,0,0
80237,2025-03-16,West,DHL,Suburban,208.9,1,1,0,0
80238,2025-03-12,Northeast,FedEx,Rural,295.4,1,1,0,0
80239,2025-11-24,South,USPS,Suburban,712.3,3,4,1,1
80240,2025-07-28,South,FedEx,Urban,402.8,2,3,1,1
80241,2025-04-13,Northeast,FedEx,Suburban,482.2,5,4,0,0
80242,2025-02-10,Northeast,DHL,Suburban,155.5,2,3,1,1
80243,2025-11-30,West,USPS,Rural,109.5,2,2,0,0
80244,2025-10-07,West,UPS,Suburban,333.5,1,1,0,0
80245,2025-01-30,South,USPS,Urban,685.0,2,2,0,0
80246,2025-08-31,South,DHL,Urban,196.5,2,3,1,1
80247,2025-02-21,South,FedEx,Rural,499.2,1,1,0,0
80248,2025-02-26,Midwest,FedEx,Urban,698.3,3,1,0,0
80249,2025-07-09,West,USPS,Suburban,747.9,5,4,0,0
80250,2025-03-20,South,USPS,Urban,795.1,2,2,0,0
80251,2025-07-15,Northeast,DHL,Suburban,611.6,2,2,0,0
80252,2025-07-16,West,USPS,Urban,64.6,1,3,1,2
80253,2025-01-31,West,DHL,Urban,697.8,2,1,0,0
80254,2025-11-28,South,UPS,Urban,709.1,2,3,1,1
80255,2025-01-30,Midwest,USPS,Suburban,448.0,2,3,1,1
80256,2025-04-23,South,FedEx,Urban,58.6,3,4,1,1
80257,2025-05-18,Midwest,USPS,Suburban,383.9,1,2,1,1
80258,2025-08-10,Midwest,FedEx,Urban,172.5,1,1,0,0
80259,2025-06-21,Northeast,UPS,Suburban,356.5,5,6,1,1
80260,2025-06-04,South,UPS,Suburban,580.7,3,3,0,0
80261,2025-10-03,Midwest,USPS,Suburban,535.7,2,3,1,1
80262,2025-08-08,West,DHL,Urban,625.1,3,3,0,0
80263,2025-10-03,South,FedEx,Rural,383.8,3,4,1,1
80264,2025-01-12,Midwest,UPS,Urban,411.1,3,3,0,0
80265,2025-03-26,West,USPS,Urban,748.9,5,5,0,0
80266,2025-08-10,Northeast,UPS,Suburban,506.8,2,4,1,2
80267,2025-02-18,Northeast,USPS,Suburban,599.3,3,3,0,0
80268,2025-06-29,South,FedEx,Suburban,533.3,3,4,1,1
80269,2025-01-10,South,USPS,Suburban,514.2,3,4,1,1
80270,2025-09-18,South,FedEx,Suburban,731.3,5,6,1,1
80271,2025-11-16,South,UPS,Rural,288.4,2,3,1,1
80272,2025-07-05,South,FedEx,Suburban,345.0,3,3,0,0
80273,2025-08-17,Midwest,FedEx,Urban,306.9,5,5,0,0
80274,2025-06-07,West,DHL,Rural,613.3,3,6,1,3
80275,2025-09-30,South,UPS,Rural,695.4,1,3,1,2
80276,2025-11-19,West,FedEx,Urban,289.2,3,3,0,0
80277,2025-01-21,Midwest,DHL,Urban,118.2,3,3,0,0
80278,2025-01-16,Midwest,DHL,Suburban,397.8,2,3,1,1
80279,2025-10-10,Midwest,FedEx,Urban,787.5,2,1,0,0
80280,2025-04-25,South,USPS,Urban,166.9,5,5,0,0
80281,2025-01-06,Northeast,FedEx,Rural,364.3,3,2,0,0
80282,2025-10-25,Northeast,USPS,Urban,220.8,2,2,0,0
80283,2025-09-16,South,FedEx,Urban,738.5,5,7,1,2
80284,2025-02-09,South,UPS,Suburban,443.0,2,2,0,0
80285,2025-10-03,South,DHL,Urban,465.1,3,6,1,3
80286,2025-08-20,Midwest,FedEx,Rural,11.6,3,4,1,1
80287,2025-01-07,Northeast,FedEx,Urban,524.0,5,6,1,1
80288,2025-11-11,Northeast,FedEx,Suburban,248.6,2,2,0,0
80289,2025-04-03,West,USPS,Urban,413.2,5,3,0,0
80290,2025-11-04,West,UPS,Suburban,427.2,3,3,0,0
80291,2025-01-21,Northeast,UPS,Suburban,475.8,2,1,0,0
80292,2025-01-11,Northeast,FedEx,Rural,659.7,2,3,1,1
80293,2025-02-19,Midwest,DHL,Urban,242.7,3,5,1,2
80294,2025-09-22,West,DHL,Rural,208.6,3,4,1,1
80295,2025-02-14,South,FedEx,Suburban,637.7,5,6,1,1
80296,2025-10-12,Midwest,USPS,Rural,576.4,3,4,1,1
80297,2025-11-14,West,DHL,Urban,184.4,3,4,1,1
80298,2025-09-28,South,UPS,Suburban,5.7,3,6,1,3
80299,2025-10-02,South,DHL,Urban,534.4,2,4,1,2
80300,2025-02-04,Northeast,DHL,Urban,130.0,2,2,0,0
80301,2025-05-21,Northeast,FedEx,Suburban,765.8,2,4,1,2
80302,2025-05-24,South,DHL,Suburban,485.5,1,2,1,1
80303,2025-11-19,South,FedEx,Suburban,680.5,2,4,1,2
80304,2025-09-02,Northeast,UPS,Urban,645.5,3,2,0,0
80305,2025-12-17,Northeast,DHL,Urban,448.4,2,2,0,0
80306,2025-11-07,Northeast,FedEx,Urban,353.5,3,4,1,1
80307,2025-07-12,Northeast,FedEx,Rural,400.0,2,3,1,1
80308,2025-02-04,West,UPS,Urban,643.4,2,3,1,1
80309,2025-09-29,Northeast,DHL,Urban,514.2,2,2,0,0
80310,2025-06-27,Midwest,USPS,Urban,168.5,3,3,0,0
80311,2025-09-27,Midwest,DHL,Urban,489.4,2,2,0,0
80312,2025-11-14,Midwest,FedEx,Urban,326.7,2,1,0,0
80313,2025-05-31,Northeast,FedEx,Suburban,53.7,2,3,1,1
80314,2025-04-09,South,UPS,Suburban,308.1,3,3,0,0
80315,2025-01-29,South,UPS,Rural,185.9,3,3,0,0
80316,2025-05-30,West,USPS,Rural,671.7,2,1,0,0
80317,2025-07-27,Northeast,USPS,Rural,88.5,1,3,1,2
80318,2025-12-15,Midwest,FedEx,Urban,291.7,2,3,1,1
80319,2025-09-19,South,USPS,Urban,557.9,2,1,0,0
80320,2025-07-29,Northeast,USPS,Urban,718.4,5,6,1,1
80321,2025-03-30,Midwest,USPS,Suburban,271.6,2,2,0,0
80322,2025-08-25,Midwest,DHL,Suburban,487.1,2,3,1,1
80323,2025-09-05,Midwest,DHL,Suburban,302.1,2,2,0,0
80324,2025-09-15,Midwest,FedEx,Urban,166.3,3,3,0,0
80325,2025-07-11,Midwest,DHL,Urban,263.9,5,6,1,1
80326,2025-04-06,West,USPS,Suburban,510.5,1,1,0,0
80327,2025-02-05,Midwest,USPS,Urban,574.5,3,3,0,0
80328,2025-04-06,West,USPS,Suburban,299.6,2,2,0,0
80329,2025-02-06,Midwest,DHL,Rural,126.3,3,4,1,1
80330,2025-08-22,Midwest,UPS,Urban,115.9,2,2,0,0
80331,2025-04-12,Midwest,USPS,Suburban,651.0,1,1,0,0
80332,2025-06-29,Midwest,USPS,Suburban,524.4,3,3,0,0
80333,2025-11-21,West,UPS,Urban,583.8,3,4,1,1
80334,2025-03-11,Northeast,UPS,Urban,393.2,5,4,0,0
80335,2025-04-17,South,FedEx,Urban,368.6,3,6,1,3
80336,2025-09-28,West,FedEx,Suburban,172.9,1,1,0,0
80337,2025-12-20,West,DHL,Urban,138.8,2,3,1,1
80338,2025-02-16,West,UPS,Rural,127.4,3,5,1,2
80339,2025-04-18,Northeast,FedEx,Rural,793.5,2,3,1,1
80340,2025-12-30,South,USPS,Urban,657.6,3,4,1,1
80341,2025-03-10,Northeast,FedEx,Urban,502.8,1,2,1,1
80342,2025-11-04,South,USPS,Suburban,175.5,1,1,0,0
80343,2025-01-02,South,USPS,Rural,273.4,3,7,1,4
80344,2025-08-07,South,USPS,Urban,283.9,2,4,1,2
80345,2025-02-14,Northeast,DHL,Suburban,384.8,2,1,0,0
80346,2025-08-21,South,UPS,Rural,340.5,3,5,1,2
80347,2025-07-08,Midwest,DHL,Urban,747.7,1,1,0,0
80348,2025-12-14,West,FedEx,Urban,578.0,3,5,1,2
80349,2025-05-02,South,FedEx,Rural,69.7,1,2,1,1
80350,2025-03-06,West,UPS,Urban,291.2,3,1,0,0
80351,2025-05-29,Northeast,UPS,Urban,110.7,2,2,0,0
80352,2025-09-06,Northeast,FedEx,Urban,227.1,2,1,0,0
80353,2025-03-08,Midwest,UPS,Urban,767.3,3,3,0,0
80354,2025-12-16,South,UPS,Rural,565.7,3,3,0,0
80355,2025-02-28,West,USPS,Urban,11.2,2,3,1,1
80356,2025-04-25,West,DHL,Rural,266.4,1,2,1,1
80357,2025-04-26,West,DHL,Urban,353.8,5,6,1,1
80358,2025-08-25,Northeast,DHL,Urban,484.0,2,3,1,1
80359,2025-02-16,South,USPS,Suburban,402.3,2,5,1,3
80360,2025-04-19,Midwest,USPS,Rural,60.5,1,2,1,1
80361,2025-10-01,Midwest,UPS,Urban,414.9,5,6,1,1
80362,2025-04-23,Northeast,UPS,Suburban,108.6,1,2,1,1
80363,2025-02-02,South,USPS,Urban,417.8,2,2,0,0
80364,2025-10-07,Midwest,USPS,Rural,200.6,2,2,0,0
80365,2025-10-19,Midwest,FedEx,Rural,119.6,3,4,1,1
80366,2025-11-12,Northeast,USPS,Suburban,233.9,2,2,0,0
80367,2025-06-11,West,USPS,Suburban,84.2,2,3,1,1
80368,2025-03-31,Midwest,DHL,Urban,230.8,2,3,1,1
80369,2025-02-20,Northeast,FedEx,Urban,694.2,2,3,1,1
80370,2025-05-24,Midwest,DHL,Urban,249.2,5,5,0,0
80371,2025-04-14,Midwest,DHL,Urban,378.8,3,3,0,0
80372,2025-06-19,Northeast,FedEx,Suburban,418.2,2,3,1,1
80373,2025-01-16,Northeast,FedEx,Urban,146.7,3,3,0,0
80374,2025-05-13,South,FedEx,Urban,356.2,3,4,1,1
80375,2025-06-19,Midwest,UPS,Rural,683.1,3,5,1,2
80376,2025-01-30,West,FedEx,Rural,69.0,2,3,1,1
80377,2025-06-09,West,DHL,Suburban,738.6,1,1,0,0
80378,2025-05-27,South,FedEx,Suburban,697.5,1,1,0,0
80379,2025-11-03,South,UPS,Urban,685.4,2,1,0,0
80380,2025-08-25,Northeast,DHL,Urban,162.8,2,1,0,0
80381,2025-06-24,West,FedEx,Urban,390.0,5,6,1,1
80382,2025-03-13,Midwest,FedEx,Rural,494.8,3,4,1,1
80383,2025-12-29,Northeast,DHL,Suburban,84.5,1,1,0,0
80384,2025-05-07,Midwest,DHL,Suburban,447.7,3,4,1,1
80385,2025-07-15,West,FedEx,Urban,672.8,3,5,1,2
80386,2025-07-04,Northeast,UPS,Urban,749.6,2,2,0,0
80387,2025-05-30,Midwest,DHL,Urban,226.3,2,3,1,1
80388,2025-08-02,South,USPS,Rural,234.5,3,4,1,1
80389,2025-04-04,Midwest,FedEx,Urban,220.2,2,1,0,0
80390,2025-02-27,Midwest,DHL,Urban,127.0,2,1,0,0
80391,2025-08-07,Northeast,DHL,Urban,347.4,2,2,0,0
80392,2025-08-07,West,FedEx,Suburban,628.7,2,3,1,1
80393,2025-01-13,Midwest,FedEx,Suburban,571.1,3,4,1,1
80394,2025-10-10,Midwest,FedEx,Suburban,720.8,2,2,0,0
80395,2025-05-20,Midwest,UPS,Urban,287.8,3,2,0,0
80396,2025-10-01,Midwest,USPS,Suburban,459.9,1,1,0,0
80397,2025-04-29,South,DHL,Suburban,614.4,2,1,0,0
80398,2025-09-28,West,FedEx,Rural,719.0,3,4,1,1
80399,2025-04-07,West,FedEx,Urban,698.0,3,4,1,1
80400,2025-11-26,Northeast,UPS,Rural,375.1,5,6,1,1
80401,2025-02-16,Midwest,USPS,Suburban,726.0,3,3,0,0
80402,2025-06-01,Northeast,DHL,Urban,358.0,3,4,1,1
80403,2025-06-22,South,USPS,Suburban,722.8,3,2,0,0
80404,2025-10-02,South,USPS,Suburban,622.7,2,2,0,0
80405,2025-12-13,Midwest,FedEx,Urban,181.2,3,2,0,0
80406,2025-08-25,Northeast,FedEx,Suburban,744.1,2,2,0,0
